"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Into the Flood Maw","U","U","143291","5.70","21307","8.01","67070","52.7%","53.7%","10966","53.4%","19429","58.2%","30395","56.4%","36112","51.3%","5.2pp"
"Knightfisher","U","U","131715","5.27","19152","7.35","55185","48.5%","52.1%","8614","52.5%","15448","56.0%","24062","54.7%","31260","49.9%","4.8pp"
"Long River Lurker","U","U","112240","4.38","24197","5.55","104703","72.6%","54.4%","18103","53.7%","30360","59.0%","48463","57.0%","56208","52.1%","4.9pp"
"Long River's Pull","U","U","149487","6.18","19702","8.91","44025","37.7%","51.9%","7253","52.2%","12490","55.9%","19743","54.6%","23914","49.4%","5.1pp"
"Mindwhisker","U","U","121841","4.77","25369","6.10","108253","71.2%","54.4%","19011","54.3%","31807","58.8%","50818","57.1%","57311","51.9%","5.3pp"
"Otterball Antics","U","U","139831","5.85","19270","8.25","50304","44.3%","52.2%","8883","51.1%","13905","55.8%","22788","54.0%","27124","50.5%","3.5pp"
"Plumecreed Escort","U","U","114857","4.43","23213","5.81","107297","77.5%","53.9%","18963","53.8%","29858","57.7%","48821","56.2%","58300","51.9%","4.3pp"
"Shoreline Looter","U","U","98303","3.88","28435","4.49","139522","80.1%","56.0%","25911","61.9%","39719","59.3%","65630","60.4%","73913","52.1%","8.2pp"
"Spellgyre","U","U","145266","5.82","21767","8.20","66877","51.8%","53.2%","10568","52.7%","19517","57.6%","30085","55.9%","36247","50.9%","4.9pp"
"Splash Lasher","U","U","108734","4.21","25483","5.27","118131","77.5%","54.4%","19307","53.0%","34671","59.7%","53978","57.3%","64053","52.0%","5.4pp"
"Splash Portal","U","U","139483","5.57","21955","7.71","71383","55.1%","53.2%","11365","51.8%","20938","56.9%","32303","55.1%","38553","51.5%","3.6pp"
"Sugar Coat","U","U","124867","4.81","21435","6.57","89511","70.7%","53.1%","14824","51.8%","25947","56.6%","40771","54.9%","47989","51.5%","3.4pp"
"Bandit's Talent","B","U","119072","4.68","16486","6.83","52513","53.6%","52.4%","9129","49.4%","12933","54.8%","22062","52.6%","30029","52.2%","0.4pp"
"Bonecache Overseer","B","U","136542","5.31","25820","6.99","89648","57.6%","55.1%","15641","57.7%","21637","55.6%","37278","56.5%","51826","54.0%","2.5pp"
"Consumed by Greed","B","U","82363","3.17","27100","3.70","147420","88.8%","56.2%","24396","55.9%","36313","60.6%","60709","58.7%","85611","54.3%","4.4pp"
"Downwind Ambusher","B","U","93413","3.53","30839","4.15","165894","87.2%","56.8%","27712","58.1%","40677","60.6%","68389","59.6%","96665","54.7%","4.9pp"
"Feed the Cycle","B","U","67686","2.65","26113","3.02","143789","90.3%","55.8%","24338","56.1%","35770","60.1%","60108","58.5%","82583","53.6%","4.8pp"
"Fell","B","U","58014","2.31","25136","2.59","140688","91.2%","56.1%","24449","57.6%","34615","60.8%","59064","59.5%","80408","53.5%","5.9pp"
"Hazel's Nocturne","B","U","124053","4.69","24404","6.32","105223","71.4%","54.9%","16001","52.4%","26161","58.8%","42162","56.4%","62356","53.8%","2.6pp"
"Huskburster Swarm","B","U","118690","4.49","20178","6.20","78986","65.9%","53.0%","11769","50.4%","20008","55.7%","31777","53.7%","47012","52.5%","1.2pp"
"Moonstone Harbinger","B","U","103873","4.00","20712","5.24","92165","73.8%","54.7%","15958","55.1%","21898","57.0%","37856","56.2%","53033","53.1%","3.1pp"
"Persistent Marshstalker","B","U","124367","4.68","24129","6.24","99570","68.3%","54.7%","17809","55.3%","23910","56.3%","41719","55.9%","57599","53.9%","2.0pp"
"Ruthless Negotiation","B","U","140900","5.51","23021","7.70","77486","54.8%","56.2%","13276","57.7%","19033","57.9%","32309","57.8%","44754","54.9%","2.9pp"
"Sinister Monolith","B","U","128289","4.98","16893","7.37","51530","51.8%","51.9%","8457","48.4%","11989","53.2%","20446","51.2%","30795","52.3%","-1.1pp"
"Stargaze","B","U","156503","6.35","23793","9.03","52884","36.9%","53.6%","8198","51.5%","12907","56.4%","21105","54.5%","31607","53.0%","1.5pp"
"Starscape Cleric","B","U","99923","3.87","21328","4.96","101169","78.2%","55.2%","17862","56.0%","23021","57.2%","40883","56.7%","58903","53.8%","2.9pp"
"Thought-Stalker Warlock","B","U","72544","2.87","31517","3.16","175445","89.7%","57.2%","30476","61.2%","42310","60.5%","72786","60.8%","101439","54.5%","6.3pp"
"Wick's Patrol","B","U","84367","3.30","32693","3.71","174668","86.6%","56.6%","27073","57.8%","44196","61.8%","71269","60.3%","102494","54.0%","6.3pp"
"Blacksmith's Talent","R","U","112446","4.51","21896","5.77","91034","68.8%","54.6%","16028","55.9%","19606","53.9%","35634","54.8%","55293","54.4%","0.3pp"
"Blooming Blast","R","U","109105","4.13","18966","5.53","87663","77.5%","53.6%","14903","52.3%","20118","55.4%","35021","54.1%","52417","53.3%","0.8pp"
"Brambleguard Captain","R","U","107738","4.16","19031","5.48","85181","74.5%","54.0%","13872","53.3%","18675","54.3%","32547","53.9%","52580","54.1%","-0.2pp"
"Brazen Collector","R","U","103222","3.94","22251","4.99","111706","83.0%","54.7%","20343","57.9%","24144","52.2%","44487","54.8%","67220","54.7%","0.1pp"
